objectid,filename,title,creator,date,description,subject,coverage,latitude,longitude,type,format,language
coll002,coll002Balkh_Landscape.JPG,Landscape in Balkh,"Nezam, Yama",2017-04-07,Lanscape view of fields and homes in Balkh ,Landscape; Balkh; Afghanistan,"Balkh, Afghanistan",36.76690485,66.89455801,Image;StillImage,image/jpeg,
coll003,coll003Balkh_Green_Mosque.JPG,Green Mosque in Balkh,"Nezam, Yama",2017-04-07,Front of Green Mosque in Balkh ,Landmark; Mosque; Balkh; Afghanistan,"Balkh, Afghanistan",36.75983614,66.8960443,Image;StillImage,image/jpeg,
coll004,coll004Kabul_Afghan_Dog _IMG_0162.jpg,Afghan hound in Kabul,"Nezam, Yama",2017-01-14,Afghan hound in Kabul,Animal; Dog; Afghan Hound;  Kabul; Afghanistan,"Kabul, Afghanistan",34.53697139,69.17818437,Image;StillImage,image/jpeg,
coll005,coll005Kabul_Arg_Presidential_Palace IMG_0032.JPG,Arg in Kabul,"Nezam, Yama",2017-01-07,Interior of the ARG which serves as the presidential palace in Kabul,Landmark; Presidential Palace; Kabul; Arg; Afghanistan,"Kabul, Afghanistan",34.52537993,69.17679334,Image;StillImage,image/jpeg,
coll006,coll006Kabul_Arg_Presidential_Palace_Ceiling_IMG_0942.jpg,Arg in Kabul (2),"Nezam, Yama",2017-04-06,Ceiling architecture inside of the ARG which serves as the presidential palace in Kabul,Landmark; Presidential Palace; Kabul; Arg; Afghanistan,"Kabul, Afghanistan",34.52537993,69.17679334,Image;StillImage,image/jpeg,
coll007,coll007Kabul_Bagh_e_Babur_IMG_7810.jpg,Mosque in Bagh-e Babur Garden in Kabul,"Nezam, Yama",2017-11-03,"View of mosque in Bagh-e-Babur Garden in Kabul built by Shah Jahan. Babur Gardens is the final resting place of the first Mughal Emperor, Babur.",Landmark; Bagh-e-Babur; Garden; Kabul; Afghanistan,"Kabul, Afghanistan",34.50306187,69.15810729,Image;StillImage,image/jpeg,
coll008,coll008Kabul_Statue.JPG,Statue in Babur Gardens in Kabul,"Nezam, Yama",2017-11-03,"Statue in Babur Gardens in Kabul with inscription, ""12th Silk Road Mayors Forum"" ",Statue; Kabul; Afghanistan,"Kabul, Afghanistan",34.5030045,69.15955635,Image;StillImage,image/jpeg,en; fa
coll009,coll009Kabul_Fruit_Stand_IMG_7819.jpg,Store in Kabul,"Nezam, Yama",2017-11-03,Fruit stand in a small shop in Kabul,Fruit; Shop; Kabul; Afghanistan,"Kabul, Afghanistan",34.50188492,69.15714218,Image;StillImage,image/jpeg,
coll010,coll010Kabul_Paghman_Hill_Castle.JPG,Paghman Hill Castle front ,"Nezam, Yama",2017-07-28,Front view of Paghman Hill Castle which is a palace in the town of Paghman in Kabul,Landmark; Paghman Hill Castle; Palace; Kabul; Afghanistan,"Kabul, Afghanistan",34.58673069,68.96880893,Image;StillImage,image/jpeg,
coll011,coll011Kabul_Paghman_Hill_Castle_IMG_5476.JPG,Paghman Hill Castle exterior,"Nezam, Yama",2017-07-28,Exterior and fountain view of Paghman Hill Castle which is a palace in the town of Paghman in Kabul,Landmark; Paghman Hill Castle; Palace; Kabul; Afghanistan,"Kabul, Afghanistan",34.58673069,68.96880893,Image;StillImage,image/jpeg,
coll012,coll012Kabul_Building_by_King_Abdul_Rahman.JPG,Kuthi E Baghtscha in Kabul,"Nezam, Yama",2017-04-09,"Kuthi E Baghtscha, built by King Abdul Rahman in 1880 and restored in 2012","Landmark; Kuthi E Baghtscha, King Abdul Rahman, Kabul; Afghanistan","Kabul, Afghanistan",34.52362748,69.17816417,Image;StillImage,image/jpeg,en; fa
coll013,coll013Kabul_outdoor_IMG_5617.JPG,Outdoor area in Kabul,"Nezam, Yama",2017-08-04,Outdoor area in Kabul with stone pathway and cabanas,Outdoors; Kabul; Afghanistan,"Kabul, Afghanistan",34.54063673,69.16936218,Image;StillImage,image/jpeg,
coll014,coll014Kabul_Field.JPG,Downtown Kabul,"Nezam, Yama",2018-05-14,Field and flowers in downtown area of Kabul,Field; Downtown; Kabul; Afghanistan,"Kabul, Afghanistan",34.52514328,69.18188708,Image;StillImage,image/jpeg,
coll015,coll015Kabul_Park_and_benches_IMG_8751.JPG,Trees and benches in Kabul,"Nezam, Yama",2017-12-15,Trees and benches in downtown area of Kabul during winter,Trees; Benches; Downtown; Kabul; Afghanistan,"Kabul, Afghanistan",34.52316025,69.17885562,Image;StillImage,image/jpeg,
coll016,coll016Kabul_City_View_IMG_7803.jpg,City view of Kabul ,"Nezam, Yama",2017-11-03,City view of Kabul from the road,City; Kabul; Afghanistan,"Kabul, Afghanistan",34.50994332,69.16007927,Image;StillImage,image/jpeg,
coll017,coll017Mazari_Sharif_IMG_0994.JPG,City view of Mazar-i-Sharif,"Nezam, Yama",2017-04-07,City view of Mazar-i-Sharif,City; Mazari Sharif; Afghanistan,"Kabul, Afghanistan",36.708132,67.10667146,Image;StillImage,image/jpeg,
coll018,coll018Mazari_Sharif_IMG_4139.jpg,Hotel in Mazar-i-Sharif,"Nezam, Yama",2017-04-07,Outdoor area of a hotel in Mazar-i-Sharif,Hotel; Mazar-i-Sharif; Afghanistan,"Mazar-i-Sharif, Afghanistan",36.71929818,67.21661013,Image;StillImage,image/jpeg,
coll019,coll019Mazari_Sharif_Airport_IMG_1185.JPG,Airport in Mazar-i-Sharif,"Nezam, Yama",2107-04-08,Airport in Mazari-i-Sharif with mountains in the background,Airport; Mazari-Sharif; Afghanistan,"Mazar-i-Sharif, Afghanistan",36.71110265,67.20891867,Image;StillImage,image/jpeg,
coll020,coll020Mazari_Sharif_Mountains_IMG_1187.JPG,Mountains in Mazar-i-Sharif ,"Nezam, Yama",2017-04-08,Aerial view of mountains over Mazar-i-Sharif,Mountains; Mazar-i-Sharif; Afghanistan,"Mazar-i-Sharif, Afghanistan",36.71023051,67.17706386,Image;StillImage,image/jpeg,
coll021,coll021Mazari Sharif_Landscape_IMG_1078.JPG,Landscape in Mazar-i-Sharif,"Nezam, Yama",2017-04-07,Landscape view of fields and mountains in Mazar-i-Sharif,Landscape; Fields; Mountains; Mazar-i-Sharif; Afghanistan,"Mazar-i-Sharif, Afghanistan",36.65049074,67.12934364,Image;StillImage,image/jpeg,
,,,,,,,,,,,,